Row Labels,Count of church,Address,UpdatedChurchName,Latitude,Longitude,Flag
"Our Lady Of Grace/St. Joseph, Hoboken",2,"400 Willow Avenue, Hoboken NJ 07030","Our Lady Of Grace/St. Joseph, Hoboken",40.7424452,-74.033591,Merged of two parishes
"Our Lady of Libera, West New York",1,"5808 Kennedy Blvd., West New York, NJ 07093","Our Lady of Libera, West New York",40.7905514,-74.0224128,
"Our Lady of Lourdes Nursing School, Camden",1,"1600 Haddon Avenue, Camden, NJ 08103","Our Lady of Lourdes Nursing School, Camden",39.9279279,-75.0947329,
"Our Lady of Lourdes, Glassboro",3,"500 Greentree Rd, Glassboro, NJ 08028","Our Lady of Lourdes, Glassboro",39.7185836,-75.1040788,
"Our Lady of Lourdes, Mountainside",2,"300 Central Avenue, Mountainside, NJ 07092","Our Lady of Lourdes, Mountainside",40.6806413,-74.3534982,
"Our Lady of Lourdes, West Orange",2,"1 Eagle Rock Ave., West Orange, NJ 07052","Our Lady of Lourdes, West Orange",40.7940806,-74.2331709,
"Our Lady of Lourdes, Whitehouse Station",1,"390 County Rd 523, Whitehouse Station, NJ 08889","Our Lady of Lourdes, Whitehouse Station",40.6101665,-74.77284,
"Our Lady of Mercy, Park Ridge",2,"2 Fremont Avenue, Park Ridge, NJ 07656","Our Lady of Mercy, Park Ridge",41.0312119,-74.0451593,
"Our Lady of Mount Virgin, Middlesex",2,"600 Harris Ave, Middlesex, NJ 08846","Our Lady of Mount Virgin, Middlesex",40.571464,-74.499618,Also a school
"Our Lady of Mt. Carmel, Berlin",1,"178 W White Horse Pike, Berlin, NJ 08009","Our Lady of Mt. Carmel, Berlin",39.8036121,-74.9497269,Both church and school
"Our Lady of Mt. Carmel, Camden",1,"832 S 4th St, Camden, NJ 08103","Our Lady of Mt. Carmel, Camden",39.9354444,-75.1224183,
"Our Lady of Mt. Carmel, Jersey City",4,"99 Broadway, Jersey City, NJ 07306","Our Lady of Mt. Carmel, Jersey City",40.7360564,-74.072854,
"Our Lady of Mt. Carmel, Lyndhurst",2,"149 Copeland Avenue, Lyndhurst, NJ 07071","Our Lady of Mt. Carmel, Lyndhurst",40.8086935,-74.13597,
"Our Lady of Mt. Carmel, Montclair",1,"94 Pine St, Montclair, NJ 07042","Our Lady of Mt. Carmel, Montclair",40.8113419,-74.2083865,
"Our Lady of Mt. Carmel, Newark",1,"259 Oliver St, Newark, NJ 07105","Our Lady of Mt. Carmel, Newark",40.7225693,-74.1617353,
"Our Lady of Mt. Carmel, Orange",1,"103 S Center St, City of Orange, NJ 07050","Our Lady of Mt. Carmel, Orange",40.768996,-74.230158,
"Our Lady of Mt. Carmel, Ridgewood",3,"One Passaic St., Ridgewood, NJ 07450","Our Lady of Mt. Carmel, Ridgewood",40.9784203,-74.1196374,
"Our Lady of Mt. Virgin, Garfield",1,"188 MacArthur Ave, Garfield, NJ 07026","Our Lady of Mt. Virgin, Garfield",40.873463,-74.0991099,
"Our Lady of Peace, Fords",1,"620 Amboy Ave, Edison, NJ 08837","Our Lady of Peace, Edison",40.5297131,-74.3169975,
"Our Lady of Peace, New Providence",1,"111 South St, New Providence, NJ 07974","Our Lady of Peace, New Providence",40.7020215,-74.4058155,Also a school
